id, soTien ,check
1,1000000,1
2,1000000,2
3,1000000,3
4,1000000,4
5,1000000,5
6,1000000,6
7,1000000,7
8,1000000,8
9,1465000,9
10,1480000,10
11,1580000,11
12,1627000,12
13,1710000,13
14,1888000,14
15,1908000,15
16,2000000,17
17,2000000,18
18,2000000,19
19,2000000,20
20,2000000,21
21,2000000,22
22,2000000,24
23,2000000,25
24,2000000,26
25,2000000,27
26,2000000,28
27,2000000,29
28,2000000,30
29,2000000,31
30,2000000,32
31,2000000,33
32,2000000,34
33,2000000,35
34,2000000,36
35,2440500,37
36,2577000,38
37,2622000,39
38,2964000,40
39,3000000,41
40,3000000,42
41,3000000,43
42,3000000,44
43,3000000,45
44,3045000,46
45,3440000,48
46,3506000,49
47,3521000,50
48,3521000,51
49,3750000,52
50,3924000,53
51,4000000,54
52,4155000,55
53,4248500,56
54,4379500,57
55,4480000,58
56,4500000,59
57,4508500,60
58,4531500,61
59,4746000,62
60,4746000,63
61,4831500,64
62,4895000,65
63,5000000,66
64,5000000,67
65,5000000,68
66,5000000,69
67,5000000,70
68,5000000,71
69,5000000,73
70,5000000,75
71,5000000,76
72,5000000,77
73,5000000,78
74,5000000,79
75,5000000,80
76,5700000,82
77,5710000,83
78,5713000,84
79,6000000,85
80,6080000,86
81,6190000,87
82,6346000,88
83,6468000,89
84,6475000,90
85,6507500,91
86,6640000,92
87,6712500,93
88,6871500,94
89,7000000,95
90,7000000,96
91,7000000,97
92,7000000,98
93,7000000,99
94,7012000,100
95,7035000,101
96,7057000,102
97,7316000,103
98,7380000,104
99,7470000,105
100,7905000,108
101,8000000,109
102,8186500,110
103,8190668,111
104,8591000,113
105,8664000,114
106,8900000,115
107,8950000,116
108,9012000,117
109,9125500,118
110,9287000,119
111,9687500,120
112,10000000,121
113,10000000,122
114,10000000,123
115,10000000,124
116,10000000,125
117,10000000,126
118,10000000,127
119,10000000,128
120,10070000,129
121,10080000,130
122,10409000,131
123,10420000,132
124,10440000,133
125,10941500,134
126,10984000,135
127,11020000,136
128,11105500,137
129,11160000,138
130,11344000,139
131,11350000,140
132,11541992,141
133,11830000,142
134,11900000,143
135,12324000,144
136,12600500,145
137,12715000,146
138,12928000,147
139,12944000,148
140,13000000,149
141,13000000,150
142,13094000,151
143,13323000,152
144,13851000,153
145,14000000,154
146,14000000,155
147,14020000,156
148,14072000,157
149,14163000,158
150,14175500,159
151,14187000,160
152,14336000,161
153,14543000,162
154,14620500,163
155,14706000,164
156,14753970,165
157,14807000,166
158,14860000,167
159,15142300,168
160,15165000,169
161,15345000,170
162,15555000,171
163,15615000,172
164,16176000,173
165,16249000,174
166,16280000,175
167,16677000,176
168,16690500,177
169,16752000,178
170,16937000,179
171,17131000,180
172,17320000,181
173,17410000,182
174,17448000,183
175,17550000,185
176,17578000,186
177,17775000,187
178,17915000,188
179,18000000,189
180,18053000,190
181,18278000,191
182,18304000,192
183,18781500,193
184,19292000,194
185,19401500,195
186,19448000,196
187,19456000,197
188,19673000,198
189,19848000,200
190,19921500,201
191,19949000,202
192,20000000,203
193,20000000,204
194,20000000,206
195,20000000,207
196,20096000,208
197,20610000,209
198,20680000,210
199,20688000,211
200,20768000,212
201,21000000,213
202,21000000,214
203,21000000,215
204,21202000,216
205,21322000,217
206,21600000,218
207,21768000,219
208,21888000,220
209,22850000,222
210,23008000,223
211,23454000,224
212,23479000,225
213,23544000,226
214,23700000,227
215,23712000,228
216,23738000,229
217,24687000,230
218,24899000,231
219,24920000,232
220,25120000,233
221,25183124,234
222,25389000,235
223,25673000,237
224,25880000,238
225,26520000,239
226,26552500,240
227,26600000,241
228,27000000,242
229,27224000,243
230,27545000,244
231,27600500,245
232,27633000,246
233,28000000,247
234,28000000,248
235,28000000,249
236,28000000,250
237,28000000,251
238,28854000,252
239,28900000,253
240,28984000,254
241,29254000,255
242,30080000,256
243,30257500,257
244,30375000,258
245,30429000,259
246,30470000,260
247,30571000,261
248,30810000,262
249,31257000,263
250,31402500,264
251,31505000,265
252,32062000,266
253,32218000,267
254,32257500,268
255,32757000,269
256,33581500,272
257,33833500,273
258,34360000,274
259,34772000,275
260,34987000,276
261,35000000,278
262,35190000,279
263,35224000,280
264,35402500,281
265,35451500,282
266,35764000,284
267,36076000,285
268,36230000,286
269,36475000,287
270,37272064,289
271,37620000,290
272,37994000,291
273,38628000,292
274,39624000,294
275,40000000,295
276,40000000,296
277,40118000,297
278,40480000,298
279,41486500,300
280,42088000,302
281,42406500,303
282,42662000,305
283,42778000,306
284,43623500,307
285,43818000,308
286,44000000,309
287,45087000,310
288,45434000,311
289,46621000,313
290,47421500,314
291,47557500,315
292,47801600,316
293,48266000,317
294,49000000,318
295,49144000,319
296,49490000,320
297,50572000,322
298,50998000,323
299,51762500,324
300,52164000,325
301,53145000,326
302,53482000,327
303,54004000,328
304,54952000,329
305,55000000,330
306,55900000,331
307,55907000,332
308,57026000,333
309,57080000,334
310,57438000,335
311,58246000,336
312,59804000,337
313,61100000,338
314,61448000,339
315,61628000,340
316,62000000,341
317,62000000,342
318,62789000,343
319,63374000,344
320,63596500,345
321,64000000,347
322,64583314,348
323,64636000,349
324,66520000,350
325,66607000,351
326,66940000,352
327,68072000,353
328,68842000,354
329,69353000,355
330,72590000,356
331,72672500,357
332,73320000,359
333,73683000,360
334,74819000,362
335,76795500,363
336,83612000,365
337,84898000,366
338,89840000,368
339,95222500,371
340,100000000,376
341,100643000,377
342,100955580,378
343,110000000,381
344,118536500,382
345,119047000,384
346,122145000,385
347,122261000,386
348,124896000,387
349,130212000,388
350,134468000,389
351,134868000,390
352,151544000,391
353,152515208,392
354,155290500,393
355,156155000,394
356,157000000,395
357,197652000,396
358,200000000,397
359,200000000,398
360,212884550,399
361,221810000,400
362,245000000,401
363,249600000,402
364,250000000,403
365,269821000,404
366,300000000,405
367,309950000,406
368,310873000,407
369,333446000,408
370,339150000,409
371,350000000,410
372,369896000,411
373,412985500,412
374,416061200,413
375,432256000,414
376,433305000,415
377,450000000,416
378,469924000,417
379,480000000,418
380,510000000,419
381,565389987,420
382,586495000,421
383,655114000,422
384,684280500,423
385,827226000,424
386,900000000,425
387,997341000,426
